unit,factor,normalizes_to,occurrences
g,1.0,grams,196
stück,1.0,pieces,130
el,15.0,liters,78
esslöffel,15.0,pieces,57
ml,1.0,liters,54
tl,5.0,liters,40
prise,0.5,grams,39
teelöffel,5.0,pieces,33
liter,1000.0,liters,19
päckchen,100.0,grams,14
bund,20.0,grams,8
gramm,1.0,grams,8
zehe,1.0,pieces,8
becher,150.0,liters,7
gr,1.0,grams,6
tasse,125.0,liters,6
schuss,20.0,liters,5
dose,400.0,grams,5
scheibe,1.0,pieces,5
kopf,1.0,pieces,4
kg,1000.0,grams,3
stange,1.0,pieces,2
blatt,1.0,pieces,2
spritzer,2.0,liters,2
pck,100.0,pieces,2
msp,1.0,grams,2
stk,1.0,pieces,1
l,1000.0,liters,1
bündel,20.0,pieces,1
glas,200.0,liters,1
würfel,1.0,pieces,1
st,1.0,pieces,0
