unit,count,average_value,ingredient_count
g,196,199.81,123
stück,130,3.24,49
stk.,122,2.3,56
el,78,2.13,48
esslöffel,57,1.94,24
ml,54,256.48,17
tl,40,1.46,26
prise,39,1.08,10
teelöffel,33,1.32,12
liter,19,1.03,7
päckchen,14,0.98,13
zehe,8,1.0,3
bund,8,0.62,6
scheiben,8,3.5,5
gramm,8,223.12,7
becher,7,1.14,4
gr,6,158.83,6
tasse,6,1.2,4
dose,5,1.0,4
schuss,5,1.0,4
scheibe,5,4.8,2
kopf,4,0.5,3
zehen,4,2.0,3
kg,3,1.0,3
zweig,3,1.0,3
msp,2,1.5,2
cl,2,2.0,2
pck,2,0.75,2
mal,2,1.0,2
schüssel,2,1.0,2
hand,2,1.0,2
pack,2,1.0,1
stck,2,1.0,1
zweige,2,3.0,2
stange,2,0.75,1
blatt,2,6.0,2
stiel,2,1.5,2
spritzer,2,1.0,2
bestecklöffel,2,1.5,2
voll,1,1.0,1
mg,1,800.0,1
tassen,1,2.0,1
knolle,1,1.0,1
würfel,1,0.5,1
dosen,1,2.0,1
stangen,1,4.0,1
beutel,1,1.0,1
l,1,1.0,1
limette,1,0.5,1
bd.,1,1.0,1
frucht,1,0.5,1
stücke,1,10.0,1
tropfen,1,2.0,1
hand voll,1,1.0,1
klecks,1,1.0,1
stck.,1,1.0,1
glas,1,1.0,1
stk,1,3.0,1
bündel,1,0.25,1
